,station,sign,frontiere_bas,frontiere_haut
118,20117,15,"['[0000101]', '[1011000]', '[0000011]', '[0010001]', '[0100001]', '[0000110]', '[0011010]', '[0001001]', '[0100010]', '[1010010]', '[0100100]', '[0001100]', '[0101000]', '[1001010]', '[0010100]', '[0110000]']",['[1111111]']
119,20131,15,"['[0000011]', '[0001001]', '[1000000]', '[0000100]', '[0100000]', '[0001010]', '[0010000]']",['[1111111]']
120,20132,15,"['[0000011]', '[0011000]', '[0010001]', '[0001001]', '[0010010]', '[1000000]', '[0000100]', '[0100000]', '[0001010]']",['[1111111]']
121,20137,15,"['[1010000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0010010]', '[1000001]', '[0100000]', '[0001010]', '[0001100]', '[0010100]']",['[1111111]']
122,20142,15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0000100]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
123,20143,15,"['[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
124,20202,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
125,20205,15,"['[0000100]', '[0100000]', '[0011000]', '[0001010]', '[0001001]', '[1010000]', '[0010001]', '[0010010]', '[1000001]', '[1000010]', '[1001000]', '[0000011]']","['[1101101]', '[1011011]', '[1011101]', '[1101011]']"
126,21017,15,"['[0000010]', '[1000000]', '[0000100]', '[0000001]', '[0010000]']",['[1111111]']
127,21213,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
128,21328,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
129,21401,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1111001]', '[1111010]', '[1110011]', '[1110110]', '[1110101]', '[1111100]']"
130,21706,15,"['[0100110]', '[0011100]', '[0101100]', '[1011000]', '[1010100]', '[0110100]', '[0110010]', '[0011010]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[1010010]', '[0101010]', '[1100100]', '[1100010]', '[1101000]', '[0010110]', '[1001010]', '[1001100]']",['[1111111]']
131,22402,15,"['[0000101]', '[0000011]', '[0001000]', '[1000100]', '[1000010]', '[0000110]', '[1000001]', '[0100000]', '[0010000]']",['[1111111]']
132,22603,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[0110100]', '[0001101]', '[0000011]', '[1100001]', '[1000010]', '[0111000]', '[1110000]', '[0001110]', '[0101001]', '[0010010]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1101000]', '[1010001]', '[1001100]']",['[1111111]']
133,22604,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
134,23105,15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[1000000]', '[0000010]']","['[1000110]', '[0100110]', '[0100101]', '[0011001]', '[1001001]', '[0100011]', '[0001100]', '[0101001]', '[1000101]', '[0010101]', '[1001010]', '[0101010]', '[1010001]', '[0110001]', '[0110010]', '[1000011]']"
135,23203,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
136,23702,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1101111]', '[1110111]']"
137,24101,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1101010]', '[1110011]', '[1111001]', '[1110101]', '[1011010]']"
138,25010,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1100111]', '[1111011]', '[1010111]']"
139,31016,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
140,31017,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
